Nikola,Vučević,C,31,CHI,0.690068493,33.12328767,0.287,0.105,6.6,30.7,15.2,1.4,2.5,10.1,24.5,0.314,0.537,0.76
Andrew,Wiggins,SF,26,GSW,0.66466895,31.90410959,0.392,0.231,4.1,10.9,10.8,1.6,2.1,9,23.1,0.393,0.513,0.634
Mason,Plumlee,C,31,CHO,0.511700913,24.56164384,0.006,0.534,10.2,23.3,16.4,1.6,2.7,20.2,11.7,0,0.645,0.392
Precious,Achiuwa,C,22,TOR,0.492294521,23.63013699,0.259,0.217,8.7,21.7,6.9,1.1,2.3,11.3,18.5,0.359,0.468,0.595
De'Anthony,Melton,SG,23,MEM,0.472888128,22.69863014,0.535,0.173,4,17.1,16,3,2.1,13,21.3,0.374,0.44,0.75
Tyus,Jones,PG,25,MEM,0.44206621,21.21917808,0.371,0.12,1.1,11,28.2,2,0.1,7.3,16.6,0.39,0.487,0.818
Juan,Toscano-Anderson,SF,28,GSW,0.283675799,13.61643836,0.37,0.298,3.2,15.8,17.6,2.4,1.6,20.4,14.7,0.322,0.588,0.571
Julius,Randle,PF,27,NYK,0.736111111,35.33333333,0.313,0.322,5.2,25.5,25.1,1,1.5,14.7,28.7,0.308,0.458,0.756
Anthony,Edwards,SG,20,MIN,0.713541667,34.25,0.484,0.225,2.6,12.5,17.4,2,1.8,12.2,26.4,0.357,0.519,0.786
Mike,Conley,PG,34,UTA,0.595486111,28.58333333,0.523,0.205,2.6,8.8,27.7,2.3,0.9,12.5,20.9,0.408,0.464,0.796
Bobby,Portis,C,26,MIL,0.586805556,28.16666667,0.388,0.13,9.6,24.4,6.4,1.3,2.4,8.9,21.3,0.393,0.533,0.752
Mitchell,Robinson,C,23,NYK,0.534722222,25.66666667,0,0.528,16.8,19.1,3.2,1.6,7.1,12.4,11.4,,0.761,0.486
Bruce,Brown,SF,25,BRK,0.513310185,24.63888889,0.186,0.253,6.3,14.7,11.5,2.1,2.6,9.1,15,0.404,0.529,0.758
Alperen,Şengün,C,19,HOU,0.430844907,20.68055556,0.223,0.442,10.1,18.9,19.1,1.9,4.1,18.8,22,0.248,0.539,0.711
Daniel,Gafford,C,23,WAS,0.417824074,20.05555556,0.002,0.372,12.1,19,7.3,1,5.8,12,16.7,0,0.695,0.699
